Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Núcleo Desportivo Reboques Herculano Oliveira,Aveiro,Mealhada,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,3,0
Núcleo Desportivo Santa Joana,Porto,Maia,Andebol_Andebol,Andebol,Andebol,2012 / 2013,0,71
Núcleo do Café Seripipi,Lisboa,Loures,Damas_Damas,Damas,Damas,s/d,0,0
Núcleo do Desporto Amador de Pombal,Leiria,Pombal,Andebol_Andebol,Andebol,Andebol,2012 / 2013,66,0
Núcleo do Desporto Amador de Pombal,Leiria,Pombal,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,21,18
Núcleo do Desporto Amador de Pombal,Leiria,Pombal,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,14,61
Núcleo do Desporto Amador de Pombal,Leiria,Pombal,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,17,11
Núcleo do Desporto Amador de Pombal,Leiria,Pombal,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,22,14
Núcleo do Desporto Amador de Pombal,Leiria,Pombal,Voleibol_Voleibol,Voleibol,Voleibol,s/d,,
Núcleo dos Antigos Alunos do Liceu Passos Manuel,Lisboa,Lisboa,Andebol_Andebol,Andebol,Andebol,2012 / 2013,210,93
Núcleo Minibasquete Real,Braga,Braga,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,7,4
Núcleo Recreativo e Desportivo Ídolos da Praça,Setúbal,Setúbal,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,28,0
Núcleo Recreativo e Desportivo Ídolos da Praça,Setúbal,Setúbal,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,75,0
Núcleo Rio Homem,Braga,Terras de Bouro,Futebol_Futsal,Futebol,Futsal,2012 / 2013,14,0
"Núcleo Sportinguista ""Os Leões de Olhão""",Faro,Olhão,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,0,19
"Núcleo Sportinguista ""Os Leões de Olhão""",Faro,Olhão,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,2,38
"Núcleo Sportinguista ""Os Leões de Olhão""",Faro,Olhão,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,5,22
"Núcleo Sportinguista ""Os Leões de Olhão""",Faro,Olhão,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,4,0
Núcleo Sportinguista da Costa de Caparica,Setúbal,Almada,Futebol_Futsal,Futebol,Futsal,2012 / 2013,57,0
Núcleo Sportinguista da Guarda,Guarda,Guarda,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,10,0
Núcleo Sportinguista da Guarda,Guarda,Guarda,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,7,0
Núcleo Sportinguista da Guarda,Guarda,Guarda,Tiro_Tiro,Tiro,Tiro,2012 / 2013,6,1
Núcleo Sportinguista da Ilha Terceira,Açores,Angra do Heroísmo,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,10,1
Núcleo Sportinguista da Ilha Terceira,Açores,Angra do Heroísmo,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,68,47
Núcleo Sportinguista da Ilha Terceira,Açores,Angra do Heroísmo,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,56,14
Núcleo Sportinguista da Lourinhã,Lisboa,Lourinhã,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,11,3
Núcleo Sportinguista de Alcabideche,Lisboa,Cascais,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,20,0
Núcleo Sportinguista de Alcabideche,Lisboa,Cascais,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,49,0
Núcleo Sportinguista de Alcabideche,Lisboa,Cascais,Futebol_Futsal,Futebol,Futsal,2012 / 2013,98,0
Núcleo Sportinguista de Alferrarede,Santarém,Abrantes,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,26,0
Núcleo Sportinguista de Beja,Beja,Beja,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,43,0
Núcleo Sportinguista de Beja,Beja,Beja,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,22,16
Núcleo Sportinguista de Caldas da Rainha,Leiria,Caldas da Rainha,Judo_Judo,Judo,Judo,2012 / 2013,15,1
Núcleo Sportinguista de Caneças,Lisboa,Odivelas,Corfebol_Corfebol,Corfebol,Corfebol,s/d,0,0
Núcleo Sportinguista de Condeixa,Coimbra,Condeixa-a-Nova,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Núcleo Sportinguista de Faro,Faro,Faro,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,49,42
Núcleo Sportinguista de Leiria,Leiria,Leiria,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,34,18
Núcleo Sportinguista de Leiria,Leiria,Leiria,Futebol_Futsal,Futebol,Futsal,2012 / 2013,50,14
Núcleo Sportinguista de Moncarapacho,Faro,Olhão,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,6,0
Núcleo Sportinguista de Moura,Beja,Moura,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,13,7
Núcleo Sportinguista de Moura,Beja,Moura,Futebol_Futsal,Futebol,Futsal,2012 / 2013,24,0
Núcleo Sportinguista de Moura,Beja,Moura,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Núcleo Sportinguista de Pombal,Leiria,Pombal,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,13,0
Núcleo Sportinguista de Pombal,Leiria,Pombal,Futebol_Futsal,Futebol,Futsal,2012 / 2013,56,11
Núcleo Sportinguista de Portimão,Faro,Portimão,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,19,5
Núcleo Sportinguista de Rio Maior,Santarém,Rio Maior,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,108,0
Núcleo Sportinguista de Rio Maior,Santarém,Rio Maior,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,162,0
Núcleo Sportinguista de São Miguel e Santa Maria,Açores,Ponta Delgada,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,52,50
Núcleo Sportinguista de Sesimbra,Setúbal,Sesimbra,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,27
Núcleo Sportinguista de Tomar,Santarém,Tomar,Basquetebol_Basquetebol,Basquetebol,Basquetebol,s/d,0,0
Núcleo Sportinguista de Vendas Novas,Évora,Vendas Novas,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Núcleo Sportinguista de Viana do Alentejo,Évora,Viana do Alentejo,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,10,0
Núcleo Sportinguista de Viana do Alentejo,Évora,Viana do Alentejo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,10,0
Núcleo Sportinguista de Vila Real Santo António,Faro,Vila Real Santo António,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,27,5
Núcleo Sportinguista do Concelho da Golegã,Santarém,Golegã,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,6,5
Núcleo Sportinguista do Concelho da Golegã,Santarém,Golegã,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,27,23
Núcleo Sportinguista do Concelho da Golegã,Santarém,Golegã,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,37,16
Núcleo Sportinguista Leões da Fronteira,Guarda,Almeida,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,9,18
Núcleo Surf for Life,Lisboa,Oeiras,Surf_Surf,Surf,Surf,2012 / 2013,13,4
Nuclisol Jean Piaget,Vila Real,Vila Real,FPDD_FPDD,FPDD,FPDD,2012 / 2013,15,0
Nupestra - Núcleo de Pescadores de Travassô,Aveiro,Águeda,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,4,0
O Crasto - Academia Cultural e Recreativa do Concelho de Castro Daire,Viseu,Castro Daire,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,92,0
O Crasto - Academia Cultural e Recreativa do Concelho de Castro Daire,Viseu,Castro Daire,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,109,0
O Crasto - Academia Cultural e Recreativa do Concelho de Castro Daire,Viseu,Castro Daire,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,15
O Crasto - Academia Cultural e Recreativa do Concelho de Castro Daire,Viseu,Castro Daire,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,11,17
O Espaço da Semente Clube Desportivo,Lisboa,Lisboa,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,1
O Espaço da Semente Clube Desportivo,Lisboa,Lisboa,Ginástica_Ginástica Team Gym,Ginástica,Ginástica Team Gym,2012 / 2013,0,44
O Grupo de Canelas Cicloturismo,Porto,Vila Nova de Gaia,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,4,0
O Patrimonense Futebol Clube,Braga,Braga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,24,0
O2 - Associação Desportiva e Cultural de Portimão,Faro,Portimão,FPDD_FPDD,FPDD,FPDD,2012 / 2013,2,0
